"","date","state","positive","negative","pending","hospitalized","death","total","dateChecked"
"1",20200323,"AK",22,946,NA,0,NA,968,"2020-03-23T20:00:00Z"
"2",20200323,"AL",167,1665,NA,NA,0,1832,"2020-03-23T20:00:00Z"
"3",20200323,"AR",174,906,0,13,0,1080,"2020-03-23T20:00:00Z"
"4",20200323,"AS",NA,NA,NA,NA,0,0,"2020-03-23T20:00:00Z"
"5",20200323,"AZ",265,309,6,NA,2,580,"2020-03-23T20:00:00Z"
"6",20200323,"CA",1733,12567,12100,NA,27,26400,"2020-03-23T20:00:00Z"
"7",20200323,"CO",591,4845,NA,58,6,5436,"2020-03-23T20:00:00Z"
"8",20200323,"CT",415,4085,NA,54,10,4500,"2020-03-23T20:00:00Z"
"9",20200323,"DC",116,1113,NA,NA,2,1229,"2020-03-23T20:00:00Z"
"10",20200323,"DE",68,36,NA,0,0,104,"2020-03-23T20:00:00Z"
"11",20200323,"FL",1171,11063,860,217,14,13094,"2020-03-23T20:00:00Z"
"12",20200323,"GA",772,4297,NA,NA,25,5069,"2020-03-23T20:00:00Z"
"13",20200323,"GU",29,161,NA,NA,1,190,"2020-03-23T20:00:00Z"
"14",20200323,"HI",56,2955,NA,NA,NA,3011,"2020-03-23T20:00:00Z"
"15",20200323,"IA",105,2043,NA,NA,NA,2148,"2020-03-23T20:00:00Z"
"16",20200323,"ID",47,1309,NA,NA,0,1356,"2020-03-23T20:00:00Z"
"17",20200323,"IL",1285,8583,NA,NA,12,9868,"2020-03-23T20:00:00Z"
"18",20200323,"IN",259,1701,NA,1,7,1960,"2020-03-23T20:00:00Z"
"19",20200323,"KS",82,417,NA,NA,2,499,"2020-03-23T20:00:00Z"
"20",20200323,"KY",104,1762,NA,NA,3,1866,"2020-03-23T20:00:00Z"
"21",20200323,"LA",1172,4776,NA,NA,34,5948,"2020-03-23T20:00:00Z"
"22",20200323,"MA",777,8145,NA,79,9,8922,"2020-03-23T20:00:00Z"
"23",20200323,"MD",288,94,NA,NA,3,382,"2020-03-23T20:00:00Z"
"24",20200323,"ME",107,2791,NA,NA,NA,2898,"2020-03-23T20:00:00Z"
"25",20200323,"MI",1328,2069,NA,NA,15,3397,"2020-03-23T20:00:00Z"
"26",20200323,"MN",235,4511,NA,17,1,4746,"2020-03-23T20:00:00Z"
"27",20200323,"MO",183,369,NA,NA,3,552,"2020-03-23T20:00:00Z"
"28",20200323,"MP",0,NA,NA,NA,0,0,"2020-03-23T20:00:00Z"
"29",20200323,"MS",249,1143,NA,33,1,1392,"2020-03-23T20:00:00Z"
"30",20200323,"MT",34,1146,NA,NA,NA,1180,"2020-03-23T20:00:00Z"
"31",20200323,"NC",297,8141,NA,NA,0,8438,"2020-03-23T20:00:00Z"
"32",20200323,"ND",30,1353,NA,4,0,1383,"2020-03-23T20:00:00Z"
"33",20200323,"NE",50,356,NA,NA,0,406,"2020-03-23T20:00:00Z"
"34",20200323,"NH",78,1374,889,NA,NA,2341,"2020-03-23T20:00:00Z"
"35",20200323,"NJ",2844,359,94,NA,27,3297,"2020-03-23T20:00:00Z"
"36",20200323,"NM",65,5321,NA,NA,NA,5386,"2020-03-23T20:00:00Z"
"37",20200323,"NV",245,3490,0,NA,4,3735,"2020-03-23T20:00:00Z"
"38",20200323,"NY",20875,57414,NA,2635,114,78289,"2020-03-23T20:00:00Z"
"39",20200323,"OH",442,140,NA,104,6,582,"2020-03-23T20:00:00Z"
"40",20200323,"OK",81,694,102,15,2,877,"2020-03-23T20:00:00Z"
"41",20200323,"OR",191,3649,NA,56,5,3840,"2020-03-23T20:00:00Z"
"42",20200323,"PA",644,6595,NA,NA,6,7239,"2020-03-23T20:00:00Z"
"43",20200323,"PR",31,189,35,NA,2,255,"2020-03-23T20:00:00Z"
"44",20200323,"RI",106,932,216,NA,NA,1254,"2020-03-23T20:00:00Z"
"45",20200323,"SC",299,1466,NA,NA,5,1765,"2020-03-23T20:00:00Z"
"46",20200323,"SD",28,762,265,NA,1,1055,"2020-03-23T20:00:00Z"
"47",20200323,"TN",615,3272,NA,NA,2,3887,"2020-03-23T20:00:00Z"
"48",20200323,"TX",352,9703,NA,NA,8,10055,"2020-03-23T20:00:00Z"
"49",20200323,"UT",257,4790,NA,NA,1,5047,"2020-03-23T20:00:00Z"
"50",20200323,"VA",254,3443,NA,38,6,3697,"2020-03-23T20:00:00Z"
"51",20200323,"VI",17,NA,NA,NA,0,17,"2020-03-23T20:00:00Z"
"52",20200323,"VT",75,1106,NA,NA,5,1181,"2020-03-23T20:00:00Z"
"53",20200323,"WA",1996,28879,NA,NA,95,30875,"2020-03-23T20:00:00Z"
"54",20200323,"WI",416,7050,NA,NA,5,7466,"2020-03-23T20:00:00Z"
"55",20200323,"WV",16,444,4,1,0,464,"2020-03-23T20:00:00Z"
"56",20200323,"WY",26,592,NA,NA,NA,618,"2020-03-23T20:00:00Z"
"57",20200322,"AK",22,946,NA,0,NA,968,"2020-03-22T20:00:00Z"
"58",20200322,"AL",138,1464,NA,NA,0,1602,"2020-03-22T20:00:00Z"
"59",20200322,"AR",165,711,119,13,0,995,"2020-03-22T20:00:00Z"
"60",20200322,"AS",NA,NA,NA,NA,0,0,"2020-03-22T20:00:00Z"
"61",20200322,"AZ",152,282,87,NA,2,521,"2020-03-22T20:00:00Z"
"62",20200322,"CA",1536,11304,NA,NA,27,12840,"2020-03-22T20:00:00Z"
"63",20200322,"CO",475,4075,NA,49,5,4550,"2020-03-22T20:00:00Z"
"64",20200322,"CT",223,2877,NA,43,5,3100,"2020-03-22T20:00:00Z"
"65",20200322,"DC",98,957,NA,NA,1,1055,"2020-03-22T20:00:00Z"
"66",20200322,"DE",56,36,NA,NA,0,92,"2020-03-22T20:00:00Z"
"67",20200322,"FL",830,7990,963,185,13,9783,"2020-03-22T20:00:00Z"
"68",20200322,"GA",600,3420,NA,NA,23,4020,"2020-03-22T20:00:00Z"
"69",20200322,"GU",27,126,NA,NA,1,153,"2020-03-22T20:00:00Z"
