"","date","state","positive","negative","pending","hospitalized","death","total","dateChecked","totalTestResults","deathIncrease","hospitalizedIncrease","negativeIncrease","positiveIncrease","totalTestResultsIncrease"
"1",20200325,"AK",42,1649,NA,1,1,1691,"2020-03-25T20:00:00Z",1691,1,1,663,6,669
"2",20200325,"AL",283,2529,NA,NA,0,2812,"2020-03-25T20:00:00Z",2812,0,0,423,68,491
"3",20200325,"AR",280,1437,0,22,2,1717,"2020-03-25T20:00:00Z",1717,2,0,490,62,552
"4",20200325,"AS",0,NA,NA,NA,0,0,"2020-03-25T20:00:00Z",0,0,0,0,0,0
"5",20200325,"AZ",450,323,53,8,6,826,"2020-03-25T20:00:00Z",773,1,0,10,93,103
"6",20200325,"CA",2102,13452,12100,NA,40,27654,"2020-03-25T20:00:00Z",15554,0,0,0,0,0
"7",20200325,"CO",912,6789,NA,84,11,7701,"2020-03-25T20:00:00Z",7701,4,12,1285,192,1477
"8",20200325,"CT",875,5023,NA,113,19,5898,"2020-03-25T20:00:00Z",5898,7,42,341,257,598
"9",20200325,"DC",183,1423,3,NA,2,1609,"2020-03-25T20:00:00Z",1606,0,0,228,46,274
"10",20200325,"DE",115,36,NA,11,0,151,"2020-03-25T20:00:00Z",151,0,11,0,24,24
"11",20200325,"FL",1682,15374,1233,316,22,18289,"2020-03-25T20:00:00Z",17056,4,57,2247,270,2517
"12",20200325,"GA",1247,4932,NA,394,40,6179,"2020-03-25T20:00:00Z",6179,8,394,474,221,695
"13",20200325,"GU",37,233,NA,10,1,270,"2020-03-25T20:00:00Z",270,0,5,32,5,37
"14",20200325,"HI",90,4357,NA,6,1,4447,"2020-03-25T20:00:00Z",4447,0,2,768,13,781
"15",20200325,"IA",145,2578,NA,36,1,2723,"2020-03-25T20:00:00Z",2723,1,9,263,21,284
"16",20200325,"ID",73,1887,NA,NA,0,1960,"2020-03-25T20:00:00Z",1960,0,0,0,23,23
"17",20200325,"IL",1865,12344,NA,NA,19,14209,"2020-03-25T20:00:00Z",14209,3,0,2410,314,2724
"18",20200325,"IN",477,2879,NA,1,14,3356,"2020-03-25T20:00:00Z",3356,2,0,313,112,425
"19",20200325,"KS",126,2360,NA,NA,3,2486,"2020-03-25T20:00:00Z",2486,1,0,274,28,302
"20",20200325,"KY",157,2865,NA,NA,4,3022,"2020-03-25T20:00:00Z",3022,0,0,1123,33,1156
"21",20200325,"LA",1795,9656,NA,491,65,11451,"2020-03-25T20:00:00Z",11451,19,220,2441,407,2848
"22",20200325,"MA",1838,17956,NA,103,15,19794,"2020-03-25T20:00:00Z",19794,4,9,5366,679,6045
"23",20200325,"MD",423,94,NA,NA,4,517,"2020-03-25T20:00:00Z",517,1,0,0,74,74
"24",20200325,"ME",149,3177,NA,NA,NA,3326,"2020-03-25T20:00:00Z",3326,0,0,163,24,187
"25",20200325,"MI",2294,2069,NA,NA,43,4363,"2020-03-25T20:00:00Z",4363,19,0,0,503,503
"26",20200325,"MN",287,11188,NA,35,1,11475,"2020-03-25T20:00:00Z",11475,0,14,5638,25,5663
"27",20200325,"MO",356,369,NA,NA,8,725,"2020-03-25T20:00:00Z",725,5,0,0,173,173
"28",20200325,"MP",0,NA,NA,NA,0,0,"2020-03-25T20:00:00Z",0,0,0,0,0,0
"29",20200325,"MS",377,1566,NA,117,2,1943,"2020-03-25T20:00:00Z",1943,1,31,14,57,71
"30",20200325,"MT",53,1948,NA,NA,NA,2001,"2020-03-25T20:00:00Z",2001,0,0,305,7,312
"31",20200325,"NC",504,9985,NA,29,1,10489,"2020-03-25T20:00:00Z",10489,1,29,1844,106,1950
"32",20200325,"ND",39,1734,NA,8,0,1773,"2020-03-25T20:00:00Z",1773,0,3,280,5,285
"33",20200325,"NE",61,1304,NA,NA,0,1365,"2020-03-25T20:00:00Z",1365,0,0,329,9,338
"34",20200325,"NH",108,2356,804,13,1,3268,"2020-03-25T20:00:00Z",2464,0,2,909,7,916
"35",20200325,"NJ",4402,10452,NA,NA,62,14854,"2020-03-25T20:00:00Z",14854,18,0,2127,727,2854
"36",20200325,"NM",100,6742,NA,NA,1,6842,"2020-03-25T20:00:00Z",6842,1,0,852,17,869
"37",20200325,"NV",321,4251,0,NA,6,4572,"2020-03-25T20:00:00Z",4572,2,0,297,43,340
"38",20200325,"NY",30811,72668,NA,3805,285,103479,"2020-03-25T20:00:00Z",103479,75,571,7063,5146,12209
"39",20200325,"OH",704,14060,NA,182,10,14764,"2020-03-25T20:00:00Z",14764,2,37,13920,140,14060
"40",20200325,"OK",164,805,NA,59,5,969,"2020-03-25T20:00:00Z",969,2,34,70,58,128
"41",20200325,"OR",209,4350,NA,61,8,4559,"2020-03-25T20:00:00Z",4559,0,0,0,0,0
"42",20200325,"PA",1127,11193,NA,NA,11,12320,"2020-03-25T20:00:00Z",12320,4,0,2550,276,2826
"43",20200325,"PR",51,317,70,NA,2,438,"2020-03-25T20:00:00Z",368,0,0,49,12,61
"44",20200325,"RI",124,1143,196,16,NA,1463,"2020-03-25T20:00:00Z",1267,0,16,23,18,41
"45",20200325,"SC",424,2303,NA,102,7,2727,"2020-03-25T20:00:00Z",2727,2,102,291,126,417
"46",20200325,"SD",41,819,268,NA,1,1128,"2020-03-25T20:00:00Z",860,0,0,29,11,40
"47",20200325,"TN",784,11012,NA,53,3,11796,"2020-03-25T20:00:00Z",11796,1,53,495,117,612
"48",20200325,"TX",974,12520,NA,NA,12,13494,"2020-03-25T20:00:00Z",13494,3,0,1763,564,2327
"49",20200325,"UT",346,6491,NA,NA,1,6837,"2020-03-25T20:00:00Z",6837,0,0,967,47,1014
"50",20200325,"VA",391,4979,NA,59,9,5370,"2020-03-25T20:00:00Z",5370,2,14,799,101,900
"51",20200325,"VI",17,55,2,NA,0,74,"2020-03-25T20:00:00Z",72,0,0,55,0,55
"52",20200325,"VT",123,1589,NA,NA,8,1712,"2020-03-25T20:00:00Z",1712,1,0,149,28,177
"53",20200325,"WA",2469,31712,NA,NA,123,34181,"2020-03-25T20:00:00Z",34181,13,0,0,248,248
"54",20200325,"WI",585,10089,NA,NA,7,10674,"2020-03-25T20:00:00Z",10674,2,0,1852,128,1980
"55",20200325,"WV",39,759,6,1,0,804,"2020-03-25T20:00:00Z",798,0,0,149,19,168
"56",20200325,"WY",44,954,NA,NA,NA,998,"2020-03-25T20:00:00Z",998,0,0,244,15,259
"57",20200324,"AK",36,986,NA,0,NA,1022,"2020-03-24T20:00:00Z",1022,0,0,40,14,54
"58",20200324,"AL",215,2106,NA,NA,0,2321,"2020-03-24T20:00:00Z",2321,0,0,441,48,489
"59",20200324,"AR",218,947,0,22,0,1165,"2020-03-24T20:00:00Z",1165,0,9,41,44,85
"60",20200324,"AS",0,NA,NA,NA,0,0,"2020-03-24T20:00:00Z",0,0,0,0,0,0
"61",20200324,"AZ",357,313,22,8,5,692,"2020-03-24T20:00:00Z",670,3,8,4,92,96
"62",20200324,"CA",2102,13452,12100,NA,40,27654,"2020-03-24T20:00:00Z",15554,13,0,885,369,1254
"63",20200324,"CO",720,5504,NA,72,7,6224,"2020-03-24T20:00:00Z",6224,1,14,659,129,788
"64",20200324,"CT",618,4682,NA,71,12,5300,"2020-03-24T20:00:00Z",5300,2,17,597,203,800
"65",20200324,"DC",137,1195,2,NA,2,1334,"2020-03-24T20:00:00Z",1332,0,0,82,21,103
"66",20200324,"DE",91,36,NA,0,0,127,"2020-03-24T20:00:00Z",127,0,0,0,23,23
"67",20200324,"FL",1412,13127,1008,259,18,15547,"2020-03-24T20:00:00Z",14539,4,42,2064,241,2305
"68",20200324,"GA",1026,4458,NA,NA,32,5484,"2020-03-24T20:00:00Z",5484,7,0,161,254,415
"69",20200324,"GU",32,201,NA,5,1,233,"2020-03-24T20:00:00Z",233,0,5,40,3,43
"70",20200324,"HI",77,3589,NA,4,1,3666,"2020-03-24T20:00:00Z",3666,1,4,634,21,655
"71",20200324,"IA",124,2315,NA,27,NA,2439,"2020-03-24T20:00:00Z",2439,0,27,272,19,291
"72",20200324,"ID",50,1887,NA,NA,0,1937,"2020-03-24T20:00:00Z",1937,0,0,578,3,581
"73",20200324,"IL",1551,9934,NA,NA,16,11485,"2020-03-24T20:00:00Z",11485,4,0,1351,266,1617
"74",20200324,"IN",365,2566,NA,1,12,2931,"2020-03-24T20:00:00Z",2931,5,0,865,106,971
"75",20200324,"KS",98,2086,NA,NA,2,2184,"2020-03-24T20:00:00Z",2184,0,0,1669,16,1685
